subscriber,subscription_length,launch,optin,source,state,emails,open_rate,click_rate,rec_open_rate,rec_click_rate,course_open_rate,course_click_rate,past_course_open_rate,past_course_click_rate,purchase_probability,purchase
387850268,154,Launch_6,MCDT,Unknown,active,30,0.27,0.03,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
388849131,153,Launch_6,MCDT,Unknown,active,30,0.1,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
388856596,153,Launch_6,MCDT,Unknown,active,30,0.57,0.07,0.0,0.0,0.67,0.67,0.4693398692810468,0.1440803621958105,1,True
389145301,153,Launch_6,MCDT,Unknown,active,30,0.53,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
389299956,153,Launch_6,Influence Map,Medium,active,21,0.48,0.05,0.67,0.0,0.43,0.0,0.4693398692810468,0.1440803621958105,0.002306876328973986,False
389342801,152,Launch_6,Influence Map,MCS Page,active,22,0.82,0.18,0.33,0.0,0.29,0.14,0.4693398692810468,0.1440803621958105,0.003978803367584046,False
389987113,152,Launch_6,Influence Map,Unknown,active,21,0.95,0.05,1.0,0.0,0.71,0.0,0.4693398692810468,0.1440803621958105,0.0042625657132823415,False
390025412,152,Launch_6,Influence Map,Skillshare,active,21,0.33,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
390209309,151,Launch_6,Influence Map,MCS Page,active,21,0.19,0.05,0.0,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
390324336,151,Launch_6,Tools,Medium,active,21,0.71,0.05,0.33,0.0,0.71,0.14,0.4693398692810468,0.1440803621958105,0.009962853954451149,False
390728256,151,Launch_6,Tools,MCS Page,active,21,0.05,0.05,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
392109920,149,Launch_6,Influence Map,Twitter,active,21,0.33,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
392389896,149,Launch_6,Influence Map,MCS Page,active,21,0.48,0.19,0.33,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
392713451,148,Launch_6,MCDT,Unknown,active,28,0.18,0.04,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
392741420,148,Launch_6,MCDT,Unknown,active,28,0.25,0.14,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
392830051,148,Launch_6,Influence Map,MCS Page,active,21,0.38,0.05,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
393100949,148,Launch_6,Influence Map,MCS Page,active,21,0.67,0.05,0.67,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
393152429,148,Launch_6,Influence Map,MCS Page,active,21,0.24,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
393866360,147,Launch_6,MCDT,Unknown,active,28,0.54,0.14,0.33,0.33,0.14,0.14,0.4693398692810468,0.1440803621958105,0.002863752014530759,False
394538620,147,Launch_6,Influence Map,Medium,cancelled,21,0.86,0.05,0.67,0.0,0.71,0.0,0.4693398692810468,0.1440803621958105,0.0042625657132823415,False
395135289,146,Launch_6,Tools,Medium,active,22,0.95,0.14,1.0,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
395303097,146,Launch_6,Influence Map,Medium,active,33,0.52,0.15,0.33,0.0,0.43,0.14,0.4693398692810468,0.1440803621958105,0.005406038987310076,False
395725743,146,Launch_6,MCDT,Unknown,active,28,0.39,0.07,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
395752191,146,Launch_6,WAF ebook,MCS Page,active,23,1.0,0.09,1.0,0.0,0.57,0.14,0.4693398692810468,0.1440803621958105,0.00734146438530447,False
397117929,145,Launch_6,MCDT,Unknown,active,28,0.96,0.39,1.0,0.33,0.86,0.29,0.4693398692810468,0.1440803621958105,0.033792957565173525,False
397169624,145,Launch_6,Influence Map,MCS Page,active,21,0.95,0.05,1.0,0.0,1.0,0.5,0.4693398692810468,0.1440803621958105,1,True
397483672,144,Launch_6,Influence Map,MCS Page,active,30,0.77,0.07,0.33,0.0,0.29,0.14,0.4693398692810468,0.1440803621958105,0.003978803367584046,False
398181302,143,Launch_6,Influence Map,MCS Page,active,21,0.1,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
398658366,143,Launch_6,Influence Map,MCS Page,active,21,0.62,0.05,0.33,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
