subscriber,launch,open_rate,click_rate,purchase
137632882,Launch_4,0.5,0.0,False
137632883,Launch_3,0.67,0.17,False
137632883,Launch_4,0.33,0.0,False
137632883,Launch_5,0.14,0.14,False
137632883,Launch_6,0.14,0.0,False
137632885,Launch_3,0.5,0.0,False
137632885,Launch_4,0.83,0.0,False
137632886,Launch_3,0.0,0.0,False
137632887,Launch_3,0.17,0.0,False
137632887,Launch_4,0.17,0.0,False
137632887,Launch_5,0.0,0.0,False
137632887,Launch_6,0.0,0.0,False
137632888,Launch_3,0.5,0.0,False
137632888,Launch_4,0.83,0.17,False
137632888,Launch_5,0.29,0.0,False
137632888,Launch_6,0.57,0.29,False
137632890,Launch_3,0.5,0.0,False
137632890,Launch_4,1.0,0.17,False
137632891,Launch_3,0.0,0.0,False
137632891,Launch_4,0.0,0.0,False
137632891,Launch_5,0.14,0.0,False
137632891,Launch_6,0.0,0.0,False
137632892,Launch_3,0.5,0.0,False
137632894,Launch_3,0.0,0.0,False
137632894,Launch_4,0.17,0.0,False
137632895,Launch_3,1.0,0.17,False
137632895,Launch_4,0.83,0.17,False
137632895,Launch_5,0.86,0.14,False
137632895,Launch_6,1.0,0.0,False
137632896,Launch_3,0.17,0.17,False
137632896,Launch_4,0.0,0.0,False
137632896,Launch_5,0.14,0.0,False
137632896,Launch_6,0.29,0.0,False
137632897,Launch_3,0.0,0.0,False
137632897,Launch_4,0.0,0.0,False
137632898,Launch_3,0.17,0.0,False
137632898,Launch_4,0.25,0.25,True
137632899,Launch_3,1.0,0.0,False
137632899,Launch_4,0.5,0.0,False
137632899,Launch_5,0.14,0.0,False
137632899,Launch_6,0.0,0.0,False
137632901,Launch_3,1.0,0.0,False
137632901,Launch_4,0.67,0.0,False
137632901,Launch_5,1.0,0.25,False
137632901,Launch_6,1.0,0.25,False
137632902,Launch_3,0.33,0.17,False
137632902,Launch_4,0.5,0.17,False
137632902,Launch_5,0.14,0.14,False
137632902,Launch_6,0.29,0.14,False
137632904,Launch_3,0.0,0.0,False
137632904,Launch_4,0.0,0.0,False
137632904,Launch_5,0.0,0.0,False
137632904,Launch_6,0.0,0.0,False
137632905,Launch_3,0.0,0.0,False
137632905,Launch_4,0.0,0.0,False
137632905,Launch_5,0.0,0.0,False
137632905,Launch_6,0.29,0.0,False
137632906,Launch_3,0.17,0.0,False
137632906,Launch_4,0.0,0.0,False
137632906,Launch_5,0.6,0.2,False
137632906,Launch_6,0.14,0.0,False
137632907,Launch_3,1.0,0.0,False
137632907,Launch_4,0.33,0.0,False
137632907,Launch_5,0.71,0.57,False
137632907,Launch_6,0.57,0.14,False
137632908,Launch_3,0.0,0.0,False
137632908,Launch_4,0.17,0.17,False
137632908,Launch_5,0.14,0.0,False
137632908,Launch_6,0.86,0.0,False
137632909,Launch_3,0.0,0.0,False
137632909,Launch_4,0.0,0.0,False
137632909,Launch_5,0.14,0.0,False
137632909,Launch_6,0.71,0.0,False
137632910,Launch_3,0.0,0.0,False
137632910,Launch_4,0.17,0.0,False
137632910,Launch_5,0.14,0.0,False
137632910,Launch_6,0.0,0.0,False
137632912,Launch_3,0.17,0.0,False
137632912,Launch_4,0.33,0.17,False
137632912,Launch_5,0.14,0.14,False
137632912,Launch_6,0.57,0.0,False
137632914,Launch_3,0.83,0.17,False
137632914,Launch_4,1.0,0.0,False
137632916,Launch_3,0.33,0.0,False
137632916,Launch_4,0.83,0.0,False
137632916,Launch_5,0.29,0.0,False
137632916,Launch_6,0.86,0.0,False
137632917,Launch_3,0.0,0.0,False
137632917,Launch_4,0.0,0.0,False
137632917,Launch_5,0.0,0.0,False
137632917,Launch_6,0.0,0.0,False
137632918,Launch_3,0.67,0.0,False
137632918,Launch_4,0.67,0.0,False
137632918,Launch_5,1.0,0.0,False
137632919,Launch_3,0.5,0.17,False
137632919,Launch_4,0.17,0.0,False
137632919,Launch_5,0.0,0.0,False
137632919,Launch_6,0.43,0.0,False
137632920,Launch_3,1.0,0.5,True
137632921,Launch_3,0.67,0.17,False
137632921,Launch_4,1.0,0.0,False
137632921,Launch_5,0.57,0.0,False
137632922,Launch_3,1.0,0.0,False
137632922,Launch_4,0.0,0.0,False
137632923,Launch_3,0.5,0.0,False
137632923,Launch_4,0.33,0.0,False
137632925,Launch_3,0.33,0.17,False
137632925,Launch_4,0.5,0.0,False
137632926,Launch_3,0.5,0.0,False
137632926,Launch_4,0.0,0.0,False
137632926,Launch_5,0.14,0.0,False
137632926,Launch_6,0.0,0.0,False
137632927,Launch_3,1.0,0.0,False
137632927,Launch_4,0.67,0.0,False
